Pur,Ch,Dm,Adr,Pos,U#,Type,Load,Acc,Clr,Gbo,Gsiz,Ckt,C#,Cbl,DtaC,Mk,Sys,RAM,DMX,CAT,L620,SGP,CT,VT,Mod,DPF,HC,MD,FIBR,IRN,PCon,T1,ADPT,OCH,IP,NFN,NF,HFC,Print,SLXN,FCAN,Scy,L/R,U/D,Nt,US,DS,SR,SL,Top,Bot,Foc,Ax,Bm,Layer,Legend,Class,XCord,YCord,ZCord,Rot,VWFcPt,LtOrd,LW,Ext,Sym,Plt,Univ,DMX,Phs,PosOrd,WkStat,DTyp,ClrFm,When,Pos & U#,Type & Acc,Type & Load,Type & Acc & Load,Ckt & C#,Clr & Gbo,Flgs,DxQ,Wt,Typ Sym,Lbl Lgnd,LtPlt,Acc Wt,Prof,Pur Nt,Ch Nt,Dm Nt,Adr Nt,Pos Nt,U# Nt,Type Nt,Load Nt,Acc Nt,Clr Nt,Gbo Nt,Gsiz Nt,Ckt Nt,C# Nt,Cbl Nt,DtaC Nt,Mk Nt,Sys Nt,RAM Nt,DMX Nt,CAT Nt,L620 Nt,SGP Nt,CT Nt,VT Nt,Mod Nt,DPF Nt,HC Nt,MD Nt,FIBR Nt,IRN Nt,PCon Nt,T1 Nt,ADPT Nt,OCH Nt,IP Nt,NFN Nt,NF Nt,HFC Nt,Print Nt,SLXN Nt,FCAN Nt,Scy Nt,L/R Nt,U/D Nt,Nt Nt,Ct1 Nt
Spare Circuit,,,,FOH Cove,,,,,,,,1A,3,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,2,81E109:15857:20:10:Ronal,,,No,,,,3,,Light,,11/10/21 at 5:49 PM - Purp  by Ronald Schwier,FOH Cove #,,,,1A-3,,,,,,,False,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,,,FOH Cove,,,,,,,,1C,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,3,3ACD27:D40D:10:30:Ronal,,,No,,,,3,,Light,,10/18/21 at 8:44 PM - HFC  by me,FOH Cove #,,,,1C-6,,,,,,,False,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,,,FOH Cove,,,,,,,,1C,5,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,4,5A5094:D40B:10:30:Ronal,,,No,,,,3,,Light,,10/18/21 at 8:44 PM - HFC  by me,FOH Cove #,,,,1C-5,,,,,,,False,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,,,FOH Cove,,,,,,,,1B,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,5,461565:D409:10:30:Ronal,,,No,,,,3,,Light,,10/18/21 at 8:44 PM - HFC  by me,FOH Cove #,,,,1B-6,,,,,,,False,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT WML,211,101,1/101,FOH Cove,1,S4-10,750,TH,R119,,,1A,1,,,,A,,,,,,,,,,,,,,,,,,,,,,,,WML,,21L,+13,,C/O Wall,,,C/O Wall + Prosc,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,"22'-6""","-15'-1""",0',,,6,5A542A:404:1D:1A:Vecto,1487.1.1.0.0,S4-10 750w-Short,Yes,1,101,,3,,Light,Source 4 10°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,FOH Cove #1,S4-10+TH,S4-10 750w,S4-10+TH 750w,1A-1,R119,,1,36 lbs,S4-10 750w-Short,GS Main,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT WDL,201,102,1/102,FOH Cove,2,S4-14,750,TH,R119,,,1A,2,,,,A,,,,,,,,,,,,,,,,,,,,,,,,WDL,,21L,+3,,,C/T EOD,,C/O Wall + Prosc,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,21',"-15'-1""",0',,,7,39D5D:3E7:1D:1A:Vecto,1488.1.1.0.0,S4-14 750w-Short,Yes,1,102,,3,,Light,Source 4 14°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,FOH Cove #2,S4-14+TH,S4-14 750w,S4-14+TH 750w,1A-2,R119,,1,40 lbs,S4-14 750w-Short,GS Main-Side Purpose,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT ML,212,104,1/104,FOH Cove,4,S4-10,750,TH,R119,,,1A,4,,,,A,,,,,,,,,,,,,,,,,,,,,,,,ML,,14L,+13,,C/O Wall,,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,"16'-6""","-15'-1""",0',,,8,645F2C:45B:1D:1A:Vecto,1484.1.1.0.0,S4-10 750w-Short,Yes,1,104,,3,,Light,Source 4 10°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,FOH Cove #4,S4-10+TH,S4-10 750w,S4-10+TH 750w,1A-4,R119,,1,36 lbs,S4-10 750w-Short,GS Main,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT DL,202,105,1/105,FOH Cove,5,S4-14,750,TH,R119,,,1A,5,,,,A,,,,,,,,,,,,,,,,,,,,,,,,DL,,14L,+3,,,C/T EOD,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,15',"-15'-1""",0',,,9,54C9F9:43E:1D:1A:Vecto,1485.1.1.0.0,S4-14 750w-Short,Yes,1,105,,3,,Light,Source 4 14°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,FOH Cove #5,S4-14+TH,S4-14 750w,S4-14+TH 750w,1A-5,R119,,1,40 lbs,S4-14 750w-Short,GS Main-Side Purpose,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT UL,222,106,1/106,FOH Cove,6,S4-10,750,TH,R119,,,1A,6,,,,A,,,,,,,,,,,,,,,,,,,,,,,,UL,,14L,+23,,C/T +31 @ HH,,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,"13'-6""","-15'-1""",0',,,10,8A2077:421:1D:1A:Vecto,1486.1.1.0.0,S4-10 750w-Short,Yes,1,106,,3,,Light,Source 4 10°,11/10/21 at 9:19 PM - Access  by Ronald Schwier,FOH Cove #6,S4-10+TH,S4-10 750w,S4-10+TH 750w,1A-6,R119,,1,36 lbs,S4-10 750w-Short,GS Main,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT MLC,213,107,1/107,FOH Cove,7,S4-10,750,TH,R119,,,1B,1,,,,A,,,,,,,,,,,,,,,,,,,,,,,,MLC,,7L,+13,,C/O Wall,,,,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,9',"-15'-1""",0',,,11,14DF7B:4B2:1D:1B:Vecto,1481.1.1.0.0,S4-10 750w-Short,Yes,1,107,,3,,Light,Source 4 10°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,FOH Cove #7,S4-10+TH,S4-10 750w,S4-10+TH 750w,1B-1,R119,,1,36 lbs,S4-10 750w-Short,GS Main,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
