Pur,Ch,Dm,Adr,Pos,U#,Type,Load,Acc,Clr,Gbo,Gsiz,Ckt,C#,Cbl,DtaC,Mk,Sys,RAM,DMX,CAT,L620,SGP,CT,VT,Mod,DPF,HC,MD,FIBR,IRN,PCon,T1,ADPT,OCH,IP,NFN,NF,HFC,Print,SLXN,FCAN,Scy,L/R,U/D,Nt,US,DS,SR,SL,Top,Bot,Foc,Ax,Bm,Layer,Legend,Class,XCord,YCord,ZCord,Rot,VWFcPt,LtOrd,LW,Ext,Sym,Plt,Univ,DMX,Phs,PosOrd,WkStat,DTyp,ClrFm,When,Pos & U#,Type & Acc,Type & Load,Type & Acc & Load,Ckt & C#,Clr & Gbo,Flgs,DxQ,Wt,Typ Sym,Lbl Lgnd,LtPlt,Acc Wt,Prof,Pur Nt,Ch Nt,Dm Nt,Adr Nt,Pos Nt,U# Nt,Type Nt,Load Nt,Acc Nt,Clr Nt,Gbo Nt,Gsiz Nt,Ckt Nt,C# Nt,Cbl Nt,DtaC Nt,Mk Nt,Sys Nt,RAM Nt,DMX Nt,CAT Nt,L620 Nt,SGP Nt,CT Nt,VT Nt,Mod Nt,DPF Nt,HC Nt,MD Nt,FIBR Nt,IRN Nt,PCon Nt,T1 Nt,ADPT Nt,OCH Nt,IP Nt,NFN Nt,NF Nt,HFC Nt,Print Nt,SLXN Nt,FCAN Nt,Scy Nt,L/R Nt,U/D Nt,Nt Nt,Ct1 Nt
C CC,54,P308,3/331,Apron Truss,13,S4 LED-36,171,STH,R119,,,3B,2,,,,A,,"125',50'",,,,,,,Octo 1-B,,"Direct, Strobe, Fan",,,10',,,,,,,,,,C,,CL,+3,,,C/T HH+1 of someone standing WDS,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"1'-9""",-6',0',180°,,25,533592:657C:28:22:Vecto,1072.1.1.0.0,S4 LED-36 Short,Yes,3,331,,7,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #13,S4 LED-36+STH,S4 LED-36 171w,S4 LED-36+STH 171w,3B-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,4,147,1/147,Apron Truss,14,S4-36,750,STH,R119,,,1K,1,,,,A,,,,,,,,,,,,,,,,,,,,,,,,C,,CL,+3,,,C/T HH+1 of someone standing WDS,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"-1'-9""",-6',0',180°,,26,31B752:6559:28:22:Vecto,1073.1.1.0.0,S4-36 750w-Short,Yes,1,147,,7,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #14,S4-36+STH,S4-36 750w,S4-36+STH 750w,1K-1,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L >,114,P313,4/101,Apron Truss,15,Encore WRM,596,TH,R119,,,3C,1,,,,A,,"125',50'",,,,,,,Octo 1-C,,Mode 1,,,,,MT1-ML6,,,,,NO,,,L,,20L,+3,ZM 36,,C/T EOD,,,C/T top of doors,,Not,,,[GP] LX-Overstage,GS ML-Side,None,"-4'-9""",-6',0',-90°,,27,3FA056:4D0E:39:33:Vecto,2015.1.1.0.0,Martin MAC Encore Performance WRM,Yes,4,101,,7,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #15,Encore WRM+TH,Encore WRM 596w,Encore WRM+TH 596w,3C-1,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC CC,55,P314,4/139,Apron Truss,16,S4 LED-36,171,STH,R119,,,3C,2,,,,A,,5',,,,,,,,,"Direct, Strobe, Fan",,,10',,ML6-FPC,,,,,,,,RC,,7R,+3,,,C/T HH+1 of someone standing WDS,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"-6'-3""",-6',0',180°,,28,723E4A:6525:28:22:Vecto,1085.1.1.0.0,S4 LED-36 Short,Yes,4,139,,7,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #16,S4 LED-36+STH,S4 LED-36 171w,S4 LED-36+STH 171w,3C-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC,5,148,1/148,Apron Truss,17,S4-36,750,STH,R119,,,1K,2,,,,A,,,,,,,,,,,,,,,,,,,,,,,,RC,,7R,+3,,,C/T HH+1 of someone standing WDS,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"-7'-3""",-6',0',180°,,29,494891:653F:28:22:Vecto,1086.1.1.0.0,S4-36 750w-Short,Yes,1,148,,7,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #17,S4-36+STH,S4-36 750w,S4-36+STH 750w,1K-2,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPARE,612,P314,4/149,Apron Truss,18,S4 LED-26,171,,R119,,,3C,2,,,,A,,5',,,,,,,,,"Direct, Strobe, Fan",,,10',,,,,,,NO,,,SPARE,,,,,,,,,,,Not,,,[GP] LX-Overstage,GS Main,None,"-8'-3""",-6',0',,,30,4E2173:4DC4:39:33:Vecto,2008.1.1.0.0,S4 LED-26 Short,Yes,4,149,,7,,Moving Light,Source 4 19° to 50°,11/10/21 at 5:21 PM - Purp  by me,Apron Truss #18,S4 LED-26,S4 LED-26 171w,S4 LED-26 171w,3C-2,R119,,10,38 lbs,S4 LED-26 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worklight,801,S19,1/507,Apron Truss,18w,Altman LED,,,,,,WL2,1,,,,A,,,,,"125',50',10'",,,,,,,,,,,2-Fer,,,,,NO,,,,,,,,,,,,,,Not,,,[GP] LX-Overstage,GS Main Tight,None,"-9'-1""",-6',0',,,31,386CDD:F746:21:2D:Ronal,2053.1.1.0.0,Worklight,Yes,1,507,,7,,Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #18w,Altman LED,Altman LED,Altman LED,WL2-1,,,,,Worklight,GS Main Tight,True,,,,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC >,113,P315,4/159,Apron Truss,19,Encore WRM,596,TH,R119,,,3C,3,,,,A,,5',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,LC,,10L,+3,ZM 36,,C/T EOD,,,,,Not,,,[GP] LX-Overstage,GS ML-Side,None,"-10'-9""",-6',0',-90°,,32,409E29:4D42:39:33:Vecto,2013.1.1.0.0,Martin MAC Encore Performance WRM,Yes,4,159,,7,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #19,Encore WRM+TH,Encore WRM 596w,Encore WRM+TH 596w,3C-3,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R CC,56,P319,4/197,Apron Truss,20,S4 LED-36,171,STH,R119,,,3D,1,,,,A,,10',,,,,,,,,"Direct, Strobe, Fan",,,5',,ML6-FPC,,,,,,,,R,,14R,+3,,,C/T HH+1 of someone standing WDS,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"-12'-3""",-6',0',180°,,33,6605A0:665B:28:22:Vecto,1083.1.1.0.0,S4 LED-36 Short,Yes,4,197,,7,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #20,S4 LED-36+STH,S4 LED-36 171w,S4 LED-36+STH 171w,3D-1,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,6,149,1/149,Apron Truss,21,S4-36,750,STH,R119,,,1K,3,,,,A,,,,,,,,,,,,,,,,,,,,,,,,R,,14R,+3,,,C/T HH+1 of someone standing WDS,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"-13'-3""",-6',0',180°,,34,67805B:660D:28:22:Vecto,1084.1.1.0.0,S4-36 750w-Short,Yes,1,149,,7,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #21,S4-36+STH,S4-36 750w,S4-36+STH 750w,1K-3,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,502,P320,4/207,Apron Truss,22,Encore WRM,596,TH,R119,,,3D,2,,,,A,,10',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,SP,,,,,,,,,,,Not,,,[GP] LX-Overstage,GS ML,None,"-15'-3""",-6',0',,,35,417B9C:21CF:1D:1E:Vecto,1075.1.1.0.0,Martin MAC Encore Performance WRM,Yes,4,207,,7,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #22,Encore WRM+TH,Encore WRM 596w,Encore WRM+TH 596w,3D-2,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C >,112,P321,4/245,Apron Truss,23,Encore WRM,596,TH,R119,,,3D,3,,,,A,,10',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,C,,CL,+3,ZM 36,,C/T EOD,,,,,Not,,,[GP] LX-Overstage,GS ML-Side,None,"-17'-6""",-6',0',-90°,,36,6EDE6:4D76:39:33:Vecto,2011.1.1.0.0,Martin MAC Encore Performance WRM,Yes,4,245,,7,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #23,Encore WRM+TH,Encore WRM 596w,Encore WRM+TH 596w,3D-3,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR CC,57,P319,4/283,Apron Truss,24,S4 LED-36,171,STH,R119,,,3D,1,,,,A,,10',,,,,,,,,"Direct, Strobe, Fan",,,10',,,,,,,,,,WR,,21R,+3,,,C/T HH+1 of someone standing WDS,C/O Wall,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,-19',-6',0',180°,,37,7513A6:66F7:28:22:Vecto,1081.1.1.0.0,S4 LED-36 Short,Yes,4,283,,7,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #24,S4 LED-36+STH,S4 LED-36 171w,S4 LED-36+STH 171w,3D-1,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,7,150,1/150,Apron Truss,25,S4-36,750,STH,R119,,,1K,4,,,,A,,,,,,,,,,,,,,,,,,,,,,,,WR,,21R,+3,,,C/T HH+1 of someone standing WDS,C/O Wall,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,-20',-6',0',180°,,38,92B4F0:66A9:28:22:Vecto,1082.1.1.0.0,S4-36 750w-Short,Yes,1,150,,7,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Apron Truss #25,S4-36+STH,S4-36 750w,S4-36+STH 750w,1K-4,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 25' 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< LC CC,101,P302,3/341,AudTwr SL,1,S4 LED-36,171,STH,R119,,,3A,2,,,,A,,,,,,,,,,,,,,,,,,,,,,,,LC,,10L,+3,,,C/T include someone standing WDS,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"24'-9""","-7'-3""",0',90°,,1,24D7C2:15263:12:2:Vecto,2074.1.1.0.0,S4 LED-36 Short,Yes,3,341,,8,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,AudTwr SL #1,S4 LED-36+STH,S4 LED-36 171w,S4 LED-36+STH 171w,3A-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< LC,105,103,1/103,AudTwr SL,2,S4-36,750,STH,R119,,,1J,4,,,,A,,,,,,,,,,,,,,,,,,,,,,,,LC,,10L,+3,,,C/T include someone standing WDS,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"24'-9""","-5'-9""",0',90°,,2,6013A8:1527D:12:2:Vecto,2073.1.1.0.0,S4-36 750w-Short,Yes,1,103,,8,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,AudTwr SL #2,S4-36+STH,S4-36 750w,S4-36+STH 750w,1J-4,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC > CC,111,P319,4/293,AudTwr SR,1,S4 LED-36,171,STH,R119,,,3D,1,,,,A,,,,,,,,,,,,,,,,,,,,,,,,RC,,10R,+3,,,C/T include someone standing WDS,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"-24'-9""","-7'-3""",0',-90°,,1,7E42B4:1522F:12:2:Vecto,2076.1.1.0.0,S4 LED-36 Short,Yes,4,293,,9,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,AudTwr SR #1,S4 LED-36+STH,S4 LED-36 171w,S4 LED-36+STH 171w,3D-1,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC >,115,121,1/121,AudTwr SR,2,S4-36,750,STH,R119,,,1K,5,,,,A,,,,,,,,,,,,,,,,,,,,,,,,RC,,10R,+3,,,C/T include someone standing WDS,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"-24'-9""","-5'-9""",0',-90°,,2,97C134:15249:12:2:Vecto,2075.1.1.0.0,S4-36 750w-Short,Yes,1,121,,9,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,AudTwr SR #2,S4-36+STH,S4-36 750w,S4-36+STH 750w,1K-5,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,,,1 Electric,,,,,,,,WL3,2,,,,A,,,,,125',,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,1,6D8AD:F893:35:36:Ronal,,,No,,,,10,,Light,,11/8/21 at 5:36 PM - Light Order  by me,1 Electric #,,,,WL3-2,,,,,,,False,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,P336,,1 Electric,,,,,,,,3F,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,2,685F33:D449:10:30:Ronal,,,No,,,,10,,Light,,11/8/21 at 5:36 PM - Light Order  by me,1 Electric #,,,,3F-6,,,,,,,False,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,P330,,1 Electric,,,,,,,,3E,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,3,63442F:D447:10:30:Ronal,,,No,,,,10,,Light,,11/8/21 at 5:36 PM - Light Order  by me,1 Electric #,,,,3E-6,,,,,,,False,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,,,1 Electric,,,,,,,,1N,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,4,467A4B:D421:10:30:Ronal,,,No,,,,10,,Light,,11/8/21 at 5:36 PM - Light Order  by me,1 Electric #,,,,1N-6,,,,,,,False,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,,,1 Electric,,,,,,,,1M,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,5,257F31:D41D:10:30:Ronal,,,No,,,,10,,Light,,11/8/21 at 5:36 PM - Light Order  by me,1 Electric #,,,,1M-6,,,,,,,False,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< LC,121,P325,5/1,1 Electric,1,Encore WRM,596,,R119,,,3E,1,,,,A,,125',,,,,,,Octo 1-D,,Mode 1,,,,,MT1-ML6,,,,,NO,,,LC,,10L,+12,ZM 36,,,,,,,Not,,,[GP] LX-Overstage,GS ML-Side,None,21',3',0',90°,,6,558A4A:5596:39:35:Vecto,1908.1.1.0.0,Martin MAC Encore Performance WRM,Yes,5,1,,10,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,1 Electric #1,Encore WRM,Encore WRM 596w,Encore WRM 596w,3E-1,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WL,11,151,1/151,1 Electric,2,S4-36,750,,R119,,,1M,1,,,,A,,,,,,,,,,,,,,,,,,,,,,,,WL,,21L,+12,,,,,C/O Wall,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,19',3',0',180°,,7,16BCCF:6745:28:22:Vecto,1065.1.1.0.0,S4-36 750w-Short,Yes,1,151,,10,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,1 Electric #2,S4-36,S4-36 750w,S4-36 750w,1M-1,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WL CC,61,P326,5/39,1 Electric,3,S4 LED-36,171,,R119,,,3E,2,,,,A,,15',,,,,,,,,"Direct, Strobe, Fan",,,15',,ML6-FPC,,,,,,,,WL,,21L,+12,,,,,C/O Wall,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,18',3',0',180°,,8,1C4309:6793:28:22:Vecto,1064.1.1.0.0,S4 LED-36 Short,Yes,5,39,,10,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,1 Electric #3,S4 LED-36,S4 LED-36 171w,S4 LED-36 171w,3E-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< C,122,P327,5/49,1 Electric,4,Encore WRM,596,,R119,,,3E,3,,,,A,,10',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,C,,CL,+12,ZM 36,,,,,,,Not,,,[GP] LX-Overstage,GS ML-Side,None,"16'-6""",3',0',90°,,9,3CBD36:5562:39:35:Vecto,1917.1.1.0.0,Martin MAC Encore Performance WRM,Yes,5,49,,10,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,1 Electric #4,Encore WRM,Encore WRM 596w,Encore WRM 596w,3E-3,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL Wall >,331,152,1/152,1 Electric,5,PAR 64 WFL,1000,"9"" Dropdown",NC,,,1M,2,,,,A,,,,,,,,,,,,,,,,,,,,,,,,WALL,,,,Top of beam lands at top of top-most gunrack (DSL-most),,,,,,,Not,Vertical,,[GP] LX-Overstage,GS Main Tight-Side Purpose,None,"13'-6""",3',0',-90°,,10,5E0B4B:730:1D:1B:Vecto,1857.1.1.0.0,PAR 64 WFL,Yes,1,152,,10,,Light,PAR 64,11/10/21 at 3:21 PM - YCoord  by Vectorworks,1 Electric #5,"PAR 64 WFL+9"" Dropdown",PAR 64 WFL 1kW,"PAR 64 WFL+9"" Dropdown 1kW",1M-2,NC,,1,18 lbs,PAR 64 WFL,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,12,153,1/153,1 Electric,6,S4-36,750,,R119,,,1M,3,,,,A,,,,,,,,,,,,,,,,,,,,,,,,L,,14L,+12,,,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"12'-3""",3',0',180°,,11,23E294:67E1:28:22:Vecto,1061.1.1.0.0,S4-36 750w-Short,Yes,1,153,,10,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,1 Electric #6,S4-36,S4-36 750w,S4-36 750w,1M-3,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L CC,62,P326,5/87,1 Electric,7,S4 LED-36,171,,R119,,,3E,2,,,,A,,15',,,,,,,,,"Direct, Strobe, Fan",,,15',,,,,,,,,,L,,14L,+12,,,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"11'-3""",3',0',180°,,12,788A8C:682F:28:22:Vecto,1060.1.1.0.0,S4 LED-36 Short,Yes,5,87,,10,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,1 Electric #7,S4 LED-36,S4 LED-36 171w,S4 LED-36 171w,3E-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< RC,123,P328,5/97,1 Electric,8,Encore WRM,596,,R119,,,3E,4,,,,A,,10',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,RC,,10R,+12,ZM 36,,,,,,,Not,,,[GP] LX-Overstage,GS ML-Side,None,"9'-9""",3',0',90°,,13,17FA09:552E:39:35:Vecto,1919.1.1.0.0,Martin MAC Encore Performance WRM,Yes,5,97,,10,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,1 Electric #8,Encore WRM,Encore WRM 596w,Encore WRM 596w,3E-4,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,13,154,1/154,1 Electric,10,S4-36,750,,R119,,,1M,4,,,,A,,,,,,,,,,,,,,,,,,,,,,,,LC,,7L,+12,,,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"6'-3""",3',0',180°,,14,76EC35:64D5:28:21:Vecto,1059.1.1.0.0,S4-36 750w-Short,Yes,1,154,,10,,Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,1 Electric #10,S4-36,S4-36 750w,S4-36 750w,1M-4,R119,,1,35 lbs,S4-36 750w-Short,GS Main,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC CC,63,P326,5/145,1 Electric,11,S4 LED-36,171,,R119,,,3E,2,,,,A,,5',,,,,,,,,"Direct, Strobe, Fan",,,5',,,,,,,,,,LC,,7L,+12,,,,,,,,Not,,Sharp/Medium,[GP] LX-Overstage,GS Main,None,"5'-3""",3',0',180°,,15,86B575:6509:28:22:Vecto,1058.1.1.0.0,S4 LED-36 Short,Yes,5,145,,10,,Moving Light,Source 4 19° to 50°,11/10/21 at 3:21 PM - YCoord  by Vectorworks,1 Electric #11,S4 LED-36,S4 LED-36 171w,S4 LED-36 171w,3E-2,R119,,10,38 lbs,S4 LED-36 Short,GS Main,True,,"Source 4 LED Series2 Lustr, Direct Strobe Fan",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< R,124,P329,5/155,1 Electric,12,Encore WRM,596,,R119,,,3E,5,,,,A,,10',,,,,,,,,Mode 1,,,,,MT1-ML6,,,,,NO,,,R,,20R,+12,ZM 36,,,,,C/T top of doors,,Not,,,[GP] LX-Overstage,GS ML-Side,None,"3'-9""",3',0',90°,,16,802F63:54FA:39:35:Vecto,1921.1.1.0.0,Martin MAC Encore Performance WRM,Yes,5,155,,10,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,1 Electric #12,Encore WRM,Encore WRM 596w,Encore WRM 596w,3E-5,R119,,38,88 lbs,Martin MAC Encore Performance WRM,GS Main,True,,"MAC Encore Performance WRM, Mode1",,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Video Fill,453,195,1/195,1 Electric,12a,IR Unit,,,,,,1N,5,,,,A,,,,,,,,Relay,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,17,3AFE03:1589F:35:8:Ronal,,Worklight,No,1,195,,10,,Light,,11/8/21 at 5:36 PM - Light Order  by me,1 Electric #12a,IR Unit,IR Unit,IR Unit,1N-5,,,,,Worklight,GS Main Tight,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worklight,802,S20,1/508,1 Electric,12w,Altman LED,,,,,,WL3,1,,,,A,,,,,125',,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,Not,,,[GP] LX-Overstage,GS Main Tight,None,"2'-1""",3',0',,,18,6EA52F:F750:22:2E:Ronal,2055.1.1.0.0,Worklight,Yes,1,508,,10,,Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,1 Electric #12w,Altman LED,Altman LED,Altman LED,WL3-1,,,,,Worklight,GS Main Tight,True,,,,,,,"Trim 30' 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
